"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2015"	"2015"	"Female"	"F"	"71 years"	"71"	22047	1298089	1698.4
	"2015"	"2015"	"Female"	"F"	"72 years"	"72"	24821	1328954	1867.7
	"2015"	"2015"	"Female"	"F"	"73 years"	"73"	23855	1162411	2052.2
	"2015"	"2015"	"Female"	"F"	"74 years"	"74"	23755	1067619	2225.0
	"2015"	"2015"	"Female"	"F"	"75 years"	"75"	24903	1010164	2465.2
	"2015"	"2015"	"Female"	"F"	"76 years"	"76"	25854	947283	2729.3
	"2015"	"2015"	"Female"	"F"	"77 years"	"77"	27548	910536	3025.5
	"2015"	"2015"	"Female"	"F"	"78 years"	"78"	28172	840960	3350.0
	"2015"	"2015"	"Female"	"F"	"79 years"	"79"	30209	803984	3757.4
	"2015"	"2015"	"Female"	"F"	"80 years"	"80"	32182	772956	4163.5
	"2015"	"2015"	"Female"	"F"	"81 years"	"81"	32253	693056	4653.7
	"2015"	"2015"	"Female"	"F"	"82 years"	"82"	35303	671319	5258.8
	"2015"	"2015"	"Female"	"F"	"83 years"	"83"	37496	640387	5855.2
	"2015"	"2015"	"Female"	"F"	"84 years"	"84"	39800	608958	6535.8
	"2015"	"2015"	"Female"	"F"	"85 years"	"85"	42054	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"86 years"	"86"	43027	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"87 years"	"87"	45252	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"88 years"	"88"	45915	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"89 years"	"89"	45567	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"90 years"	"90"	45974	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"91 years"	"91"	43774	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"92 years"	"92"	40511	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"93 years"	"93"	37836	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"94 years"	"94"	33025	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"95 years"	"95"	28012	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"96 years"	"96"	21971	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"97 years"	"97"	18143	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"98 years"	"98"	14032	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"99 years"	"99"	10313	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"100+ years"	"100"	22591	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"< 1 year"	"0"	13008	2035134	639.2
	"2015"	"2015"	"Male"	"M"	"1 year"	"1"	913	2029295	45.0
	"2015"	"2015"	"Male"	"M"	"2 years"	"2"	565	2026604	27.9
	"2015"	"2015"	"Male"	"M"	"3 years"	"3"	462	2030644	22.8
	"2015"	"2015"	"Male"	"M"	"4 years"	"4"	341	2055924	16.6
	"2015"	"2015"	"Male"	"M"	"5 years"	"5"	321	2050848	15.7
	"2015"	"2015"	"Male"	"M"	"6 years"	"6"	283	2050663	13.8
	"2015"	"2015"	"Male"	"M"	"7 years"	"7"	241	2117118	11.4
	"2015"	"2015"	"Male"	"M"	"8 years"	"8"	269	2128825	12.6
	"2015"	"2015"	"Male"	"M"	"9 years"	"9"	263	2111678	12.5
	"2015"	"2015"	"Male"	"M"	"10 years"	"10"	274	2103943	13.0
	"2015"	"2015"	"Male"	"M"	"11 years"	"11"	266	2106742	12.6
	"2015"	"2015"	"Male"	"M"	"12 years"	"12"	293	2090780	14.0
	"2015"	"2015"	"Male"	"M"	"13 years"	"13"	394	2082704	18.9
	"2015"	"2015"	"Male"	"M"	"14 years"	"14"	549	2136219	25.7
	"2015"	"2015"	"Male"	"M"	"15 years"	"15"	723	2172989	33.3
	"2015"	"2015"	"Male"	"M"	"16 years"	"16"	988	2139271	46.2
	"2015"	"2015"	"Male"	"M"	"17 years"	"17"	1409	2145174	65.7
	"2015"	"2015"	"Male"	"M"	"18 years"	"18"	1841	2156041	85.4
	"2015"	"2015"	"Male"	"M"	"19 years"	"19"	2226	2184392	101.9
	"2015"	"2015"	"Male"	"M"	"20 years"	"20"	2500	2240373	111.6
	"2015"	"2015"	"Male"	"M"	"21 years"	"21"	2851	2290006	124.5
	"2015"	"2015"	"Male"	"M"	"22 years"	"22"	3134	2331696	134.4
	"2015"	"2015"	"Male"	"M"	"23 years"	"23"	3251	2387842	136.1
	"2015"	"2015"	"Male"	"M"	"24 years"	"24"	3423	2417937	141.6
	"2015"	"2015"	"Male"	"M"	"25 years"	"25"	3471	2407515	144.2
	"2015"	"2015"	"Male"	"M"	"26 years"	"26"	3296	2310983	142.6
	"2015"	"2015"	"Male"	"M"	"27 years"	"27"	3412	2254603	151.3
	"2015"	"2015"	"Male"	"M"	"28 years"	"28"	3364	2214738	151.9
	"2015"	"2015"	"Male"	"M"	"29 years"	"29"	3630	2221560	163.4
	"2015"	"2015"	"Male"	"M"	"30 years"	"30"	3506	2231463	157.1
	"2015"	"2015"	"Male"	"M"	"31 years"	"31"	3575	2152765	166.1
	"2015"	"2015"	"Male"	"M"	"32 years"	"32"	3738	2181163	171.4
	"2015"	"2015"	"Male"	"M"	"33 years"	"33"	3832	2175631	176.1
	"2015"	"2015"	"Male"	"M"	"34 years"	"34"	3957	2148717	184.2
	"2015"	"2015"	"Male"	"M"	"35 years"	"35"	4026	2199270	183.1
	"2015"	"2015"	"Male"	"M"	"36 years"	"36"	3949	2053297	192.3
	"2015"	"2015"	"Male"	"M"	"37 years"	"37"	4015	2010463	199.7
	"2015"	"2015"	"Male"	"M"	"38 years"	"38"	4058	1983816	204.6
	"2015"	"2015"	"Male"	"M"	"39 years"	"39"	4142	1926578	215.0
	"2015"	"2015"	"Male"	"M"	"40 years"	"40"	4282	1989213	215.3
	"2015"	"2015"	"Male"	"M"	"41 years"	"41"	4547	1919064	236.9
	"2015"	"2015"	"Male"	"M"	"42 years"	"42"	4933	1942311	254.0
	"2015"	"2015"	"Male"	"M"	"43 years"	"43"	5401	2032362	265.7
	"2015"	"2015"	"Male"	"M"	"44 years"	"44"	6317	2147203	294.2
	"2015"	"2015"	"Male"	"M"	"45 years"	"45"	6635	2182484	304.0
	"2015"	"2015"	"Male"	"M"	"46 years"	"46"	7135	2064898	345.5
	"2015"	"2015"	"Male"	"M"	"47 years"	"47"	7407	2019602	366.8
	"2015"	"2015"	"Male"	"M"	"48 years"	"48"	8202	2015073	407.0
	"2015"	"2015"	"Male"	"M"	"49 years"	"49"	9428	2052872	459.3
	"2015"	"2015"	"Male"	"M"	"50 years"	"50"	10767	2173002	495.5
	"2015"	"2015"	"Male"	"M"	"51 years"	"51"	12164	2202725	552.2
	"2015"	"2015"	"Male"	"M"	"52 years"	"52"	13209	2195088	601.8
	"2015"	"2015"	"Male"	"M"	"53 years"	"53"	14524	2186448	664.3
	"2015"	"2015"	"Male"	"M"	"54 years"	"54"	16076	2206584	728.5
	"2015"	"2015"	"Male"	"M"	"55 years"	"55"	17123	2228498	768.4
	"2015"	"2015"	"Male"	"M"	"56 years"	"56"	18224	2143285	850.3
	"2015"	"2015"	"Male"	"M"	"57 years"	"57"	19693	2124551	926.9
	"2015"	"2015"	"Male"	"M"	"58 years"	"58"	20611	2092228	985.1
	"2015"	"2015"	"Male"	"M"	"59 years"	"59"	21521	2009005	1071.2
	"2015"	"2015"	"Male"	"M"	"60 years"	"60"	22515	1987008	1133.1
	"2015"	"2015"	"Male"	"M"	"61 years"	"61"	23323	1893657	1231.6
	"2015"	"2015"	"Male"	"M"	"62 years"	"62"	24065	1815914	1325.2
	"2015"	"2015"	"Male"	"M"	"63 years"	"63"	25306	1741514	1453.1
	"2015"	"2015"	"Male"	"M"	"64 years"	"64"	25245	1679087	1503.5
	"2015"	"2015"	"Male"	"M"	"65 years"	"65"	25976	1637936	1585.9
	"2015"	"2015"	"Male"	"M"	"66 years"	"66"	26986	1583339	1704.4
	"2015"	"2015"	"Male"	"M"	"67 years"	"67"	28284	1562960	1809.6
	"2015"	"2015"	"Male"	"M"	"68 years"	"68"	30528	1623929	1879.9
	"2015"	"2015"	"Male"	"M"	"69 years"	"69"	25856	1188026	2176.4
	"2015"	"2015"	"Male"	"M"	"70 years"	"70"	26504	1162672	2279.6
	"2015"	"2015"	"Male"	"M"	"71 years"	"71"	28756	1123102	2560.4
	"2015"	"2015"	"Male"	"M"	"72 years"	"72"	30898	1140651	2708.8
	"2015"	"2015"	"Male"	"M"	"73 years"	"73"	29580	983641	3007.2
	"2015"	"2015"	"Male"	"M"	"74 years"	"74"	28979	886092	3270.4
	"2015"	"2015"	"Male"	"M"	"75 years"	"75"	29511	829659	3557.0
	"2015"	"2015"	"Male"	"M"	"76 years"	"76"	30203	774758	3898.4
	"2015"	"2015"	"Male"	"M"	"77 years"	"77"	31079	728549	4265.9
	"2015"	"2015"	"Male"	"M"	"78 years"	"78"	31046	659853	4705.0
	"2015"	"2015"	"Male"	"M"	"79 years"	"79"	31880	618087	5157.8
	"2015"	"2015"	"Male"	"M"	"80 years"	"80"	33120	578240	5727.7
	"2015"	"2015"	"Male"	"M"	"81 years"	"81"	32996	507988	6495.4
	"2015"	"2015"	"Male"	"M"	"82 years"	"82"	33750	477629	7066.2
	"2015"	"2015"	"Male"	"M"	"83 years"	"83"	34644	442175	7834.9
	"2015"	"2015"	"Male"	"M"	"84 years"	"84"	35617	406633	8759.0
	"2015"	"2015"	"Male"	"M"	"85 years"	"85"	35498	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"86 years"	"86"	34676	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"87 years"	"87"	34900	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"88 years"	"88"	33152	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"89 years"	"89"	30706	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"90 years"	"90"	28690	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"91 years"	"91"	25871	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"92 years"	"92"	22541	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"93 years"	"93"	19604	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"94 years"	"94"	15970	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"95 years"	"95"	12316	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"96 years"	"96"	8722	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"97 years"	"97"	6574	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"98 years"	"98"	4474	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"99 years"	"99"	3071	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"100+ years"	"100"	4939	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"< 1 year"	"0"	10294	1939667	530.7
	"2016"	"2016"	"Female"	"F"	"1 year"	"1"	694	1953850	35.5
	"2016"	"2016"	"Female"	"F"	"2 years"	"2"	474	1949132	24.3
	"2016"	"2016"	"Female"	"F"	"3 years"	"3"	323	1947408	16.6
	"2016"	"2016"	"Female"	"F"	"4 years"	"4"	298	1950127	15.3
	"2016"	"2016"	"Female"	"F"	"5 years"	"5"	256	1970381	13.0
	"2016"	"2016"	"Female"	"F"	"6 years"	"6"	206	1973241	10.4
	"2016"	"2016"	"Female"	"F"	"7 years"	"7"	240	1974326	12.2
	"2016"	"2016"	"Female"	"F"	"8 years"	"8"	194	2037098	9.5
	"2016"	"2016"	"Female"	"F"	"9 years"	"9"	217	2044830	10.6
	"2016"	"2016"	"Female"	"F"	"10 years"	"10"	189	2027418	9.3
	"2016"	"2016"	"Female"	"F"	"11 years"	"11"	227	2022731	11.2
	"2016"	"2016"	"Female"	"F"	"12 years"	"12"	221	2028493	10.9
	"2016"	"2016"	"Female"	"F"	"13 years"	"13"	258	2014600	12.8
	"2016"	"2016"	"Female"	"F"	"14 years"	"14"	354	2006259	17.6
	"2016"	"2016"	"Female"	"F"	"15 years"	"15"	399	2054841	19.4
	"2016"	"2016"	"Female"	"F"	"16 years"	"16"	507	2084083	24.3
	"2016"	"2016"	"Female"	"F"	"17 years"	"17"	613	2054585	29.8
	"2016"	"2016"	"Female"	"F"	"18 years"	"18"	776	2060801	37.7
	"2016"	"2016"	"Female"	"F"	"19 years"	"19"	804	2073843	38.8
	"2016"	"2016"	"Female"	"F"	"20 years"	"20"	901	2088855	43.1
	"2016"	"2016"	"Female"	"F"	"21 years"	"21"	1032	2133830	48.4
	"2016"	"2016"	"Female"	"F"	"22 years"	"22"	1107	2178862	50.8
	"2016"	"2016"	"Female"	"F"	"23 years"	"23"	1198	2210629	54.2
	"2016"	"2016"	"Female"	"F"	"24 years"	"24"	1225	2277787	53.8
	"2016"	"2016"	"Female"	"F"	"25 years"	"25"	1379	2332540	59.1
	"2016"	"2016"	"Female"	"F"	"26 years"	"26"	1476	2333494	63.3
	"2016"	"2016"	"Female"	"F"	"27 years"	"27"	1536	2243248	68.5
	"2016"	"2016"	"Female"	"F"	"28 years"	"28"	1564	2193389	71.3
	"2016"	"2016"	"Female"	"F"	"29 years"	"29"	1587	2156739	73.6
	"2016"	"2016"	"Female"	"F"	"30 years"	"30"	1725	2167435	79.6
	"2016"	"2016"	"Female"	"F"	"31 years"	"31"	1907	2190224	87.1
	"2016"	"2016"	"Female"	"F"	"32 years"	"32"	1977	2128886	92.9
	"2016"	"2016"	"Female"	"F"	"33 years"	"33"	2022	2164564	93.4
	"2016"	"2016"	"Female"	"F"	"34 years"	"34"	2186	2166986	100.9
	"2016"	"2016"	"Female"	"F"	"35 years"	"35"	2318	2146149	108.0
	"2016"	"2016"	"Female"	"F"	"36 years"	"36"	2461	2179618	112.9
	"2016"	"2016"	"Female"	"F"	"37 years"	"37"	2441	2054543	118.8
	"2016"	"2016"	"Female"	"F"	"38 years"	"38"	2606	2016225	129.3
	"2016"	"2016"	"Female"	"F"	"39 years"	"39"	2642	2000928	132.0
	"2016"	"2016"	"Female"	"F"	"40 years"	"40"	2739	1941028	141.1
	"2016"	"2016"	"Female"	"F"	"41 years"	"41"	2863	1996568	143.4
	"2016"	"2016"	"Female"	"F"	"42 years"	"42"	3134	1941928	161.4
	"2016"	"2016"	"Female"	"F"	"43 years"	"43"	3495	1977320	176.8
	"2016"	"2016"	"Female"	"F"	"44 years"	"44"	3878	2063086	188.0
	"2016"	"2016"	"Female"	"F"	"45 years"	"45"	4549	2181652	208.5
	"2016"	"2016"	"Female"	"F"	"46 years"	"46"	4860	2199725	220.9
	"2016"	"2016"	"Female"	"F"	"47 years"	"47"	4931	2088622	236.1
	"2016"	"2016"	"Female"	"F"	"48 years"	"48"	5386	2046863	263.1
	"2016"	"2016"	"Female"	"F"	"49 years"	"49"	6090	2054806	296.4
	"2016"	"2016"	"Female"	"F"	"50 years"	"50"	6721	2091455	321.4
	"2016"	"2016"	"Female"	"F"	"51 years"	"51"	7660	2217966	345.4
	"2016"	"2016"	"Female"	"F"	"52 years"	"52"	8543	2266189	377.0
	"2016"	"2016"	"Female"	"F"	"53 years"	"53"	9477	2267892	417.9
	"2016"	"2016"	"Female"	"F"	"54 years"	"54"	10213	2265370	450.8
	"2016"	"2016"	"Female"	"F"	"55 years"	"55"	11212	2297597	488.0
	"2016"	"2016"	"Female"	"F"	"56 years"	"56"	11931	2311661	516.1
	"2016"	"2016"	"Female"	"F"	"57 years"	"57"	12662	2241986	564.8
	"2016"	"2016"	"Female"	"F"	"58 years"	"58"	13403	2232174	600.4
	"2016"	"2016"	"Female"	"F"	"59 years"	"59"	14288	2213284	645.6
	"2016"	"2016"	"Female"	"F"	"60 years"	"60"	14892	2139267	696.1
	"2016"	"2016"	"Female"	"F"	"61 years"	"61"	15278	2122487	719.8
	"2016"	"2016"	"Female"	"F"	"62 years"	"62"	16291	2044245	796.9
	"2016"	"2016"	"Female"	"F"	"63 years"	"63"	16695	1968870	847.9
	"2016"	"2016"	"Female"	"F"	"64 years"	"64"	17409	1892535	919.9
	"2016"	"2016"	"Female"	"F"	"65 years"	"65"	17934	1839731	974.8
	"2016"	"2016"	"Female"	"F"	"66 years"	"66"	18641	1794239	1038.9
	"2016"	"2016"	"Female"	"F"	"67 years"	"67"	20160	1741373	1157.7
	"2016"	"2016"	"Female"	"F"	"68 years"	"68"	21599	1719694	1256.0
	"2016"	"2016"	"Female"	"F"	"69 years"	"69"	23932	1788127	1338.4
	"2016"	"2016"	"Female"	"F"	"70 years"	"70"	20393	1325617	1538.4
	"2016"	"2016"	"Female"	"F"	"71 years"	"71"	21484	1310054	1639.9
	"2016"	"2016"	"Female"	"F"	"72 years"	"72"	23542	1276783	1843.9
	"2016"	"2016"	"Female"	"F"	"73 years"	"73"	26233	1304712	2010.6
	"2016"	"2016"	"Female"	"F"	"74 years"	"74"	25420	1138891	2232.0
	"2016"	"2016"	"Female"	"F"	"75 years"	"75"	25708	1043735	2463.1
	"2016"	"2016"	"Female"	"F"	"76 years"	"76"	25901	984932	2629.7
	"2016"	"2016"	"Female"	"F"	"77 years"	"77"	27585	920921	2995.4
	"2016"	"2016"	"Female"	"F"	"78 years"	"78"	28945	882532	3279.8
	"2016"	"2016"	"Female"	"F"	"79 years"	"79"	29905	812156	3682.2
	"2016"	"2016"	"Female"	"F"	"80 years"	"80"	31952	773313	4131.8
	"2016"	"2016"	"Female"	"F"	"81 years"	"81"	33568	740254	4534.7
	"2016"	"2016"	"Female"	"F"	"82 years"	"82"	34222	660414	5181.9
	"2016"	"2016"	"Female"	"F"	"83 years"	"83"	36058	636001	5669.5
	"2016"	"2016"	"Female"	"F"	"84 years"	"84"	38253	602402	6350.1
	"2016"	"2016"	"Female"	"F"	"85 years"	"85"	41051	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"86 years"	"86"	42459	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"87 years"	"87"	43269	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"88 years"	"88"	44814	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"89 years"	"89"	44823	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"90 years"	"90"	44061	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"91 years"	"91"	43368	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"92 years"	"92"	40362	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"93 years"	"93"	36549	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"94 years"	"94"	33094	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"95 years"	"95"	28427	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"96 years"	"96"	23356	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"97 years"	"97"	17890	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"98 years"	"98"	14343	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"99 years"	"99"	10451	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"100+ years"	"100"	22790	Not Applicable	Not Applicable
	"2016"	"2016"	"Male"	"M"	"< 1 year"	"0"	12867	2030478	633.7
	"2016"	"2016"	"Male"	"M"	"1 year"	"1"	874	2041158	42.8
	"2016"	"2016"	"Male"	"M"	"2 years"	"2"	572	2043022	28.0
	"2016"	"2016"	"Male"	"M"	"3 years"	"3"	468	2034666	23.0
	"2016"	"2016"	"Male"	"M"	"4 years"	"4"	342	2037529	16.8
	"2016"	"2016"	"Male"	"M"	"5 years"	"5"	290	2062134	14.1
	"2016"	"2016"	"Male"	"M"	"6 years"	"6"	282	2056414	13.7
	"2016"	"2016"	"Male"	"M"	"7 years"	"7"	271	2055665	13.2
	"2016"	"2016"	"Male"	"M"	"8 years"	"8"	289	2122016	13.6
	"2016"	"2016"	"Male"	"M"	"9 years"	"9"	245	2133694	11.5
	"2016"	"2016"	"Male"	"M"	"10 years"	"10"	276	2116601	13.0
	"2016"	"2016"	"Male"	"M"	"11 years"	"11"	279	2108491	13.2
	"2016"	"2016"	"Male"	"M"	"12 years"	"12"	313	2111065	14.8
	"2016"	"2016"	"Male"	"M"	"13 years"	"13"	387	2095103	18.5
	"2016"	"2016"	"Male"	"M"	"14 years"	"14"	509	2087472	24.4
	"2016"	"2016"	"Male"	"M"	"15 years"	"15"	771	2142150	36.0
	"2016"	"2016"	"Male"	"M"	"16 years"	"16"	1073	2181141	49.2
	"2016"	"2016"	"Male"	"M"	"17 years"	"17"	1442	2150416	67.1
	"2016"	"2016"	"Male"	"M"	"18 years"	"18"	2040	2158502	94.5
	"2016"	"2016"	"Male"	"M"	"19 years"	"19"	2387	2169637	110.0
	"2016"	"2016"	"Male"	"M"	"20 years"	"20"	2602	2197366	118.4
	"2016"	"2016"	"Male"	"M"	"21 years"	"21"	3150	2253024	139.8
	"2016"	"2016"	"Male"	"M"	"22 years"	"22"	3275	2302042	142.3
	"2016"	"2016"	"Male"	"M"	"23 years"	"23"	3524	2342323	150.4
	"2016"	"2016"	"Male"	"M"	"24 years"	"24"	3749	2396310	156.4
	"2016"	"2016"	"Male"	"M"	"25 years"	"25"	3924	2425812	161.8
	"2016"	"2016"	"Male"	"M"	"26 years"	"26"	3798	2413760	157.3
	"2016"	"2016"	"Male"	"M"	"27 years"	"27"	3927	2315958	169.6
